Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1715434326731,11/05/2024 13:32:06,1715434326787,2,11/05/2024 15:32:06,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1715434353973,11/05/2024 13:32:33,1715434354094,2,11/05/2024 15:32:34,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,27274.39999999106,,Screen End,rahsha99,,0,1,0,,,,,,ID,,,,
3,1715434354063,11/05/2024 13:32:34,1715434354095,2,11/05/2024 15:32:34,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,27274.39999999106,,,,,0,1,0,,,,,,ID,,,,
4,1715434386122,11/05/2024 13:33:06,1715434386222,2,11/05/2024 15:33:06,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,32088,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1715434391091,11/05/2024 13:33:11,1715434391209,2,11/05/2024 15:33:11,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.299999999996,,,,,0,1,0,,,,,,istruzioni,,,,
6,1715434392348,11/05/2024 13:33:12,1715434392453,2,11/05/2024 15:33:12,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,76,1,1,Screen 1,advancementZone,content_audio,1230.2999999970198,,,,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
7,1715434396669,11/05/2024 13:33:16,1715434396771,2,11/05/2024 15:33:16,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,76,1,2,Screen 2,Zone1,response_keyboard,4309.20000000298,,,1,1,1,0,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
8,1715434401637,11/05/2024 13:33:21,1715434401758,2,11/05/2024 15:33:21,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,76,1,3,Screen 3,fixation,fixation,4999.5,,,,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
9,1715434401739,11/05/2024 13:33:21,1715434401857,2,11/05/2024 15:33:21,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,72,1,1,Screen 1,advancementZone,timelimit_screen,99.90000000000873,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
10,1715434401860,11/05/2024 13:33:21,1715434401974,2,11/05/2024 15:33:21,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,72,1,2,Screen 2,Zone1,timelimit_screen,116.69999999999709,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
11,1715434401956,11/05/2024 13:33:21,1715434402074,2,11/05/2024 15:33:22,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,72,1,3,Screen 3,advancementZone,timelimit_screen,100,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
12,1715434404774,11/05/2024 13:33:24,1715434404893,2,11/05/2024 15:33:24,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,72,1,4,Screen 4,Zone1,response_keyboard,2801.9000000059605,,,2,1,1,0,0,,,,,1,flash_110,2,,1.png,unimodal_visual
13,1715434409769,11/05/2024 13:33:29,1715434409890,2,11/05/2024 15:33:29,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,72,1,5,Screen 5,fixation,fixation,4999.5,,,,,0,1,0,,,,,1,flash_110,2,,1.png,unimodal_visual
14,1715434410300,11/05/2024 13:33:30,1715434410416,2,11/05/2024 15:33:30,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,86,2,1,Screen 1,advancementZone,content_audio,506.59999999403954,,,,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
15,1715434412389,11/05/2024 13:33:32,1715434412511,2,11/05/2024 15:33:32,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,86,2,2,Screen 2,Zone1,response_keyboard,2085.5,,,1,1,1,0,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
16,1715434417389,11/05/2024 13:33:37,1715434417506,2,11/05/2024 15:33:37,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,86,2,3,Screen 3,fixation,fixation,4999.599999999991,,,,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
17,1715434417508,11/05/2024 13:33:37,1715434417635,2,11/05/2024 15:33:37,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,content_audio,90.79999999701977,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
18,1715434417594,11/05/2024 13:33:37,1715434417690,2,11/05/2024 15:33:37,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,2,Screen 2,Zone1,timelimit_screen,66.59999999999127,,,,,0,1,0,,,1,,1,sifi_70_d,1,beep.wav,1.png,SiFI
19,1715434417702,11/05/2024 13:33:37,1715434417817,2,11/05/2024 15:33:37,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,3,Screen 3,Zone1,content_audio,118.79999999701977,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
20,1715434421678,11/05/2024 13:33:41,1715434421793,2,11/05/2024 15:33:41,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,4,Screen 4,Zone1,response_keyboard,3959.199999988079,,,1,1,1,0,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
21,1715434426671,11/05/2024 13:33:46,1715434426789,2,11/05/2024 15:33:46,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
22,1715434426792,11/05/2024 13:33:46,1715434426915,2,11/05/2024 15:33:46,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,34,1,1,Screen 1,advancementZone,content_audio,90.90000000596046,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
23,1715434427026,11/05/2024 13:33:47,1715434427141,2,11/05/2024 15:33:47,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,34,1,2,Screen 2,Zone1,timelimit_screen,234,,,,,0,1,0,,,1,,1,bimodal_230,2,beep.wav,1.png,bimodal
24,1715434427135,11/05/2024 13:33:47,1715434427255,2,11/05/2024 15:33:47,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,34,1,3,Screen 3,advancementZone,content_audio,94.79999999701977,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
25,1715434428769,11/05/2024 13:33:48,1715434428870,2,11/05/2024 15:33:48,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,34,1,4,Screen 4,Zone1,response_keyboard,1605.5999999940395,,,2,1,1,0,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
26,1715434433737,11/05/2024 13:33:53,1715434433855,2,11/05/2024 15:33:53,0,0,,,37606824,,11081679,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,34,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
