Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1717668412062,06/06/2024 10:06:52,1717668413102,2,06/06/2024 12:06:53,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1717668423069,06/06/2024 10:07:03,1717668424148,2,06/06/2024 12:07:04,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,10970,,Screen End,parreb03,,0,1,0,,,,,,ID,,,,
3,1717668423207,06/06/2024 10:07:03,1717668424149,2,06/06/2024 12:07:04,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10970,,,,,0,1,0,,,,,,ID,,,,
4,1717668474898,06/06/2024 10:07:54,1717668475984,2,06/06/2024 12:07:55,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,51811,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1717668479873,06/06/2024 10:07:59,1717668480970,2,06/06/2024 12:08:00,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.599999999991,,,,,0,1,0,,,,,,istruzioni,,,,
6,1717668481204,06/06/2024 10:08:01,1717668482306,2,06/06/2024 12:08:02,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,content_audio,1281.1999998092651,,,,,0,1,0,,,,,1,sifi_230_p,1,beep.wav,1.png,SiFI
7,1717668481439,06/06/2024 10:08:01,1717668482536,2,06/06/2024 12:08:02,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,6,1,2,Screen 2,Zone1,timelimit_screen,233.10000000000582,,,,,0,1,0,,,1,,1,sifi_230_p,1,beep.wav,1.png,SiFI
8,1717668481562,06/06/2024 10:08:01,1717668482665,2,06/06/2024 12:08:02,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,6,1,3,Screen 3,Zone1,content_audio,105.70000004768372,,,,,0,1,0,,,,,1,sifi_230_p,1,beep.wav,1.png,SiFI
9,1717668482284,06/06/2024 10:08:02,1717668483388,2,06/06/2024 12:08:03,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,6,1,4,Screen 4,Zone1,response_keyboard,709.1000001430511,,,1,1,1,0,0,,,,,1,sifi_230_p,1,beep.wav,1.png,SiFI
10,1717668487273,06/06/2024 10:08:07,1717668488383,2,06/06/2024 12:08:08,0,0,,,38083763,,11203043,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,6,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,sifi_230_p,1,beep.wav,1.png,SiFI
