Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1718099170379,11/06/2024 09:46:10,1718099171476,2,11/06/2024 11:46:11,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1718099182004,11/06/2024 09:46:22,1718099183152,2,11/06/2024 11:46:23,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,11629.600000023842,,Screen End,yuezhu94,,0,1,0,,,,,,ID,,,,
3,1718099182082,11/06/2024 09:46:22,1718099183153,2,11/06/2024 11:46:23,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,11629.600000023842,,,,,0,1,0,,,,,,ID,,,,
4,1718099227362,11/06/2024 09:47:07,1718099228520,2,11/06/2024 11:47:08,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,45343.39999997616,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1718099232341,11/06/2024 09:47:12,1718099233511,2,11/06/2024 11:47:13,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.9000000000015,,,,,0,1,0,,,,,,istruzioni,,,,
6,1718099233636,11/06/2024 09:47:13,1718099234795,2,11/06/2024 11:47:14,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,content_audio,1240,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
7,1718099233704,11/06/2024 09:47:13,1718099234858,2,11/06/2024 11:47:14,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,2,Screen 2,Zone1,timelimit_screen,66.59999999999854,,,,,0,1,0,,,1,,1,sifi_70_d,1,beep.wav,1.png,SiFI
8,1718099233821,11/06/2024 09:47:13,1718099234980,2,11/06/2024 11:47:14,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,3,Screen 3,Zone1,content_audio,115.30000001192093,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
9,1718099245099,11/06/2024 09:47:25,1718099246250,2,11/06/2024 11:47:26,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,4,Screen 4,Zone1,response_keyboard,11256.199999988079,,,1,1,1,0,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
10,1718099250090,11/06/2024 09:47:30,1718099251240,2,11/06/2024 11:47:31,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,15,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
11,1718099250591,11/06/2024 09:47:30,1718099251752,2,11/06/2024 11:47:31,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,29,1,1,Screen 1,advancementZone,content_audio,469.30000001192093,,,,,0,1,0,,,,,1,bimodal_150,2,beep.wav,1.png,bimodal
12,1718099250723,11/06/2024 09:47:30,1718099251891,2,11/06/2024 11:47:31,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,29,1,2,Screen 2,Zone1,timelimit_screen,149.90000000000873,,,,,0,1,0,,,1,,1,bimodal_150,2,beep.wav,1.png,bimodal
13,1718099250835,11/06/2024 09:47:30,1718099252010,2,11/06/2024 11:47:32,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,29,1,3,Screen 3,advancementZone,content_audio,108.09999996423721,,,,,0,1,0,,,,,1,bimodal_150,2,beep.wav,1.png,bimodal
14,1718099252306,11/06/2024 09:47:32,1718099253470,2,11/06/2024 11:47:33,0,0,,,38174806,,11225924,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,29,1,4,Screen 4,Zone1,response_keyboard,1453.800000011921,,,2,1,1,0,0,,,,,1,bimodal_150,2,beep.wav,1.png,bimodal
