Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714986454055,06/05/2024 09:07:34,1714986454863,2,06/05/2024 11:07:34,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714986463478,06/05/2024 09:07:43,1714986464335,2,06/05/2024 11:07:44,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,9410.799999982119,,Screen End,WUPAN1998,,0,1,0,,,,,,ID,,,,
3,1714986463561,06/05/2024 09:07:43,1714986464336,2,06/05/2024 11:07:44,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9410.799999982119,,,,,0,1,0,,,,,,ID,,,,
4,1714986480764,06/05/2024 09:08:00,1714986481633,2,06/05/2024 11:08:01,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,17270.80000001192,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714986485748,06/05/2024 09:08:05,1714986486613,2,06/05/2024 11:08:06,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.4000000000015,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714986485863,06/05/2024 09:08:05,1714986486712,2,06/05/2024 11:08:06,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,56,1,1,Screen 1,advancementZone,timelimit_screen,100.09999999999854,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
7,1714986485979,06/05/2024 09:08:05,1714986486830,2,06/05/2024 11:08:06,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,56,1,2,Screen 2,Zone1,timelimit_screen,116.90000000000146,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
8,1714986486073,06/05/2024 09:08:06,1714986486929,2,06/05/2024 11:08:06,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,56,1,3,Screen 3,advancementZone,timelimit_screen,99.60000000000218,,,,,0,1,0,,,1,,1,flash_110,2,,1.png,unimodal_visual
9,1714986487649,06/05/2024 09:08:07,1714986488514,2,06/05/2024 11:08:08,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,56,1,4,Screen 4,Zone1,response_keyboard,1572.2999999821186,,,2,1,1,0,0,,,,,1,flash_110,2,,1.png,unimodal_visual
10,1714986492644,06/05/2024 09:08:12,1714986493496,2,06/05/2024 11:08:13,0,0,,,37491649,,11050801,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,56,1,5,Screen 5,fixation,fixation,4999.9000000000015,,,,,0,1,0,,,,,1,flash_110,2,,1.png,unimodal_visual
