Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714478756162,30/04/2024 12:05:56,1714478756644,2,30/04/2024 14:05:56,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714478765083,30/04/2024 12:06:05,1714478765625,2,30/04/2024 14:06:05,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,8939.800000011921,,Screen End,fraant00,,0,1,0,,,,,,ID,,,,
3,1714478765178,30/04/2024 12:06:05,1714478765628,2,30/04/2024 14:06:05,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8939.800000011921,,,,,0,1,0,,,,,,ID,,,,
4,1714478819243,30/04/2024 12:06:59,1714478819806,2,30/04/2024 14:06:59,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,54141.09999999404,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714478824243,30/04/2024 12:07:04,1714478824792,2,30/04/2024 14:07:04,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714478825409,30/04/2024 12:07:05,1714478825976,2,30/04/2024 14:07:05,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,44,1,1,Screen 1,advancementZone,content_audio,1152.1000000089407,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
7,1714478825516,30/04/2024 12:07:05,1714478826089,2,30/04/2024 14:07:06,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,44,1,2,Screen 2,Zone1,timelimit_screen,116.60000000000582,,,,,0,1,0,,,1,,1,bimodal_110,2,beep.wav,1.png,bimodal
8,1714478825659,30/04/2024 12:07:05,1714478826216,2,30/04/2024 14:07:06,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,44,1,3,Screen 3,advancementZone,content_audio,120.20000000298023,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
9,1714478826642,30/04/2024 12:07:06,1714478827206,2,30/04/2024 14:07:07,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,44,1,4,Screen 4,Zone1,response_keyboard,981.0999999940395,,,2,1,1,0,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
10,1714478831629,30/04/2024 12:07:11,1714478832189,2,30/04/2024 14:07:12,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,44,1,5,Screen 5,fixation,fixation,4999.599999999991,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
11,1714478831727,30/04/2024 12:07:11,1714478832296,2,30/04/2024 14:07:12,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,2,1,Screen 1,advancementZone,content_audio,87,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
12,1714478831844,30/04/2024 12:07:11,1714478832405,2,30/04/2024 14:07:12,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,2,2,Screen 2,Zone1,timelimit_screen,116.69999999999709,,,,,0,1,0,,,1,,1,bimodal_110,2,beep.wav,1.png,bimodal
13,1714478831948,30/04/2024 12:07:11,1714478832516,2,30/04/2024 14:07:12,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,2,3,Screen 3,advancementZone,content_audio,102.40000000596046,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
14,1714478832600,30/04/2024 12:07:12,1714478833162,2,30/04/2024 14:07:13,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,2,4,Screen 4,Zone1,response_keyboard,640.0999999940395,,,2,1,1,0,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
15,1714478837593,30/04/2024 12:07:17,1714478838155,2,30/04/2024 14:07:18,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,2,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
16,1714478837713,30/04/2024 12:07:17,1714478838276,2,30/04/2024 14:07:18,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,1,Screen 1,advancementZone,content_audio,92.3999999910593,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
17,1714478837948,30/04/2024 12:07:17,1714478838505,2,30/04/2024 14:07:18,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,2,Screen 2,Zone1,timelimit_screen,233.39999999999418,,,,,0,1,0,,,1,,1,bimodal_230,2,beep.wav,1.png,bimodal
18,1714478838041,30/04/2024 12:07:18,1714478838616,2,30/04/2024 14:07:18,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,3,Screen 3,advancementZone,content_audio,100.3999999910593,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
19,1714478839157,30/04/2024 12:07:19,1714478839718,2,30/04/2024 14:07:19,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,4,Screen 4,Zone1,response_keyboard,1097.7999999970198,,,2,1,1,0,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
20,1714478844140,30/04/2024 12:07:24,1714478844704,2,30/04/2024 14:07:24,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
21,1714478844249,30/04/2024 12:07:24,1714478844816,2,30/04/2024 14:07:24,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,32,3,1,Screen 1,advancementZone,content_audio,94.70000000298023,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
22,1714478844359,30/04/2024 12:07:24,1714478844921,2,30/04/2024 14:07:24,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,32,3,2,Screen 2,Zone1,timelimit_screen,116.60000000000582,,,,,0,1,0,,,1,,1,bimodal_110,2,beep.wav,1.png,bimodal
23,1714478844443,30/04/2024 12:07:24,1714478845016,2,30/04/2024 14:07:25,0,0,,,37354059,,11016029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,32,3,3,Screen 3,advancementZone,content_audio,87.29999999701977,,,,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
