Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1713513998979,19/04/2024 08:06:38,1713514001532,2,19/04/2024 10:06:41,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1713514009706,19/04/2024 08:06:49,1713514012316,2,19/04/2024 10:06:52,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,10721.5,,Screen End,cecsim01,,0,1,0,,,,,,ID,,,,
3,1713514009795,19/04/2024 08:06:49,1713514012317,2,19/04/2024 10:06:52,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10721.5,,,,,0,1,0,,,,,,ID,,,,
4,1713514064058,19/04/2024 08:07:44,1713514066674,2,19/04/2024 10:07:46,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,54326.59999999404,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1713514069040,19/04/2024 08:07:49,1713514071654,2,19/04/2024 10:07:51,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,,istruzioni,,,,
6,1713514069126,19/04/2024 08:07:49,1713514071753,2,19/04/2024 10:07:51,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,59,1,1,Screen 1,advancementZone,timelimit_screen,99.80000000000291,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
7,1713514069219,19/04/2024 08:07:49,1713514071819,2,19/04/2024 10:07:51,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,59,1,2,Screen 2,Zone1,timelimit_screen,66.69999999999709,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
8,1713514069293,19/04/2024 08:07:49,1713514071919,2,19/04/2024 10:07:51,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,59,1,3,Screen 3,advancementZone,timelimit_screen,100.09999999999127,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
9,1713514069428,19/04/2024 08:07:49,1713514072032,2,19/04/2024 10:07:52,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,59,1,4,Screen 4,Zone1,response_keyboard,102.09999999403954,,,1,1,0,1,0,,,,,1,flash_70,2,,1.png,unimodal_visual
10,1713514074403,19/04/2024 08:07:54,1713514077019,2,19/04/2024 10:07:57,0,0,,,37138723,,10949481,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,59,1,5,Screen 5,fixation,fixation,4999.599999999991,,,,,0,1,0,,,,,1,flash_70,2,,1.png,unimodal_visual
