Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714647540097,02/05/2024 10:59:00,1714647540850,2,02/05/2024 12:59:00,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714647547540,02/05/2024 10:59:07,1714647548315,2,02/05/2024 12:59:08,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,7390.399999976158,,Screen End,morgai02,,0,1,0,,,,,,ID,,,,
3,1714647547625,02/05/2024 10:59:07,1714647548316,2,02/05/2024 12:59:08,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7390.399999976158,,,,,0,1,0,,,,,,ID,,,,
4,1714647586020,02/05/2024 10:59:46,1714647586791,2,02/05/2024 12:59:46,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,38445.40000000596,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714647590991,02/05/2024 10:59:50,1714647591778,2,02/05/2024 12:59:51,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.4000000000015,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714647592326,02/05/2024 10:59:52,1714647593099,2,02/05/2024 12:59:53,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,content_audio,1299.300000011921,,,,,0,1,0,,,,,1,sifi_110_p,1,beep.wav,1.png,SiFI
7,1714647592425,02/05/2024 10:59:52,1714647593211,2,02/05/2024 12:59:53,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,4,1,2,Screen 2,Zone1,timelimit_screen,116.59999999999854,,,,,0,1,0,,,1,,1,sifi_110_p,1,beep.wav,1.png,SiFI
8,1714647592547,02/05/2024 10:59:52,1714647593339,2,02/05/2024 12:59:53,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,4,1,3,Screen 3,Zone1,content_audio,112.2000000178814,,,,,0,1,0,,,,,1,sifi_110_p,1,beep.wav,1.png,SiFI
9,1714647596696,02/05/2024 10:59:56,1714647597483,2,02/05/2024 12:59:57,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,4,1,4,Screen 4,Zone1,response_keyboard,4134.699999988079,,,1,1,1,0,0,,,,,1,sifi_110_p,1,beep.wav,1.png,SiFI
10,1714647601691,02/05/2024 11:00:01,1714647602477,2,02/05/2024 13:00:02,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,4,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,sifi_110_p,1,beep.wav,1.png,SiFI
11,1714647601830,02/05/2024 11:00:01,1714647602618,2,02/05/2024 13:00:02,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,content_audio,103.5,,,,,0,1,0,,,,,1,sifi_150_p,1,beep.wav,1.png,SiFI
12,1714647601975,02/05/2024 11:00:01,1714647602760,2,02/05/2024 13:00:02,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,5,1,2,Screen 2,Zone1,timelimit_screen,149.90000000000146,,,,,0,1,0,,,1,,1,sifi_150_p,1,beep.wav,1.png,SiFI
13,1714647602097,02/05/2024 11:00:02,1714647602878,2,02/05/2024 13:00:02,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,5,1,3,Screen 3,Zone1,content_audio,98.40000000596046,,,,,0,1,0,,,,,1,sifi_150_p,1,beep.wav,1.png,SiFI
14,1714647603027,02/05/2024 11:00:03,1714647603817,2,02/05/2024 13:00:03,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,5,1,4,Screen 4,Zone1,response_keyboard,934.4000000059605,,,1,1,1,0,0,,,,,1,sifi_150_p,1,beep.wav,1.png,SiFI
15,1714647608026,02/05/2024 11:00:08,1714647608809,2,02/05/2024 13:00:08,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,5,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,sifi_150_p,1,beep.wav,1.png,SiFI
16,1714647608150,02/05/2024 11:00:08,1714647608938,2,02/05/2024 13:00:08,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,content_audio,90.90000000596046,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
17,1714647608213,02/05/2024 11:00:08,1714647608993,2,02/05/2024 13:00:08,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,2,Screen 2,Zone1,timelimit_screen,66.60000000000582,,,,,0,1,0,,,1,,1,sifi_70_d,1,beep.wav,1.png,SiFI
18,1714647608303,02/05/2024 11:00:08,1714647609099,2,02/05/2024 13:00:09,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,3,Screen 3,Zone1,content_audio,98.5,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
19,1714647609038,02/05/2024 11:00:09,1714647609826,2,02/05/2024 13:00:09,0,0,,,37403058,,11030160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,4,Screen 4,Zone1,response_keyboard,715.7000000178814,,,1,1,1,0,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
