Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714741510468,03/05/2024 13:05:10,1714741511734,2,03/05/2024 15:05:11,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714741518238,03/05/2024 13:05:18,1714741519545,2,03/05/2024 15:05:19,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,7730.800000000745,,Enter Key,viaemm03,1,0,1,0,,,,,,ID,,,,
3,1714741550976,03/05/2024 13:05:50,1714741552014,2,03/05/2024 15:05:52,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,32406.900000000373,,,1,1,0,1,0,,,,,,istruzioni,,,,
4,1714741555930,03/05/2024 13:05:55,1714741556998,2,03/05/2024 15:05:56,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.700000000004,,,,,0,1,0,,,,,,istruzioni,,,,
5,1714741557365,03/05/2024 13:05:57,1714741558382,2,03/05/2024 15:05:58,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,47,1,1,Screen 1,advancementZone,content_audio,1308,,,,,0,1,0,,,,,1,bimodal_70,2,beep.wav,1.png,bimodal
6,1714741557810,03/05/2024 13:05:57,1714741558444,2,03/05/2024 15:05:58,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,47,1,2,Screen 3,Zone1,timelimit_screen,66.70000000000437,,,,,0,1,0,,,1,,1,bimodal_70,2,beep.wav,1.png,bimodal
7,1714741557810,03/05/2024 13:05:57,1714741558561,2,03/05/2024 15:05:58,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,47,1,3,Screen 2,advancementZone,content_audio,109.30000000074506,,,,,0,1,0,,,,,1,bimodal_70,2,beep.wav,1.png,bimodal
8,1714741558993,03/05/2024 13:05:58,1714741559977,2,03/05/2024 15:05:59,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,47,1,4,Screen 4,Zone1,response_keyboard,1406.5,,,2,1,1,0,0,,,,,1,bimodal_70,2,beep.wav,1.png,bimodal
9,1714741563981,03/05/2024 13:06:03,1714741564976,2,03/05/2024 15:06:04,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,47,1,5,Screen 5,fixation,fixation,4999.799999999996,,,,,0,1,0,,,,,1,bimodal_70,2,beep.wav,1.png,bimodal
10,1714741564406,03/05/2024 13:06:04,1714741565100,2,03/05/2024 15:06:05,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,Zone1,content_audio,90.59999999962747,,,,,0,1,0,,,,,1,sifi_70_p,1,beep.wav,1.png,SiFI
11,1714741564406,03/05/2024 13:06:04,1714741565161,2,03/05/2024 15:06:05,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,3,1,2,Screen 2,Zone1,timelimit_screen,66.5,,,,,0,1,0,,,1,,1,sifi_70_p,1,beep.wav,1.png,SiFI
12,1714741564406,03/05/2024 13:06:04,1714741565281,2,03/05/2024 15:06:05,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,3,1,3,Screen 3,Zone1,content_audio,103.70000000111759,,,,,0,1,0,,,,,1,sifi_70_p,1,beep.wav,1.png,SiFI
13,1714741565306,03/05/2024 13:06:05,1714741566316,2,03/05/2024 15:06:06,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,3,1,4,Screen 4,Zone1,response_keyboard,1018.8000000007451,,,2,1,0,1,0,,,,,1,sifi_70_p,1,beep.wav,1.png,SiFI
14,1714741570293,03/05/2024 13:06:10,1714741571311,2,03/05/2024 15:06:11,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,3,1,5,Screen 5,fixation,fixation,4999.5999999999985,,,,,0,1,0,,,,,1,sifi_70_p,1,beep.wav,1.png,SiFI
15,1714741570673,03/05/2024 13:06:10,1714741571409,2,03/05/2024 15:06:11,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,65,1,1,Screen 1,advancementZone,timelimit_screen,100,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
16,1714741570673,03/05/2024 13:06:10,1714741571559,2,03/05/2024 15:06:11,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,65,1,2,Screen 2,Zone1,timelimit_screen,150,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
17,1714741570673,03/05/2024 13:06:10,1714741571658,2,03/05/2024 15:06:11,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,65,1,3,Screen 3,advancementZone,timelimit_screen,99.90000000000146,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
18,1714741571261,03/05/2024 13:06:11,1714741572266,2,03/05/2024 15:06:12,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,65,1,4,Screen 4,Zone1,response_keyboard,605.2000000011176,,,2,1,1,0,0,,,,,1,flash_150,2,,1.png,unimodal_visual
19,1714741576223,03/05/2024 13:06:16,1714741577258,2,03/05/2024 15:06:17,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,65,1,5,Screen 5,fixation,fixation,4999.899999999994,,,,,0,1,0,,,,,1,flash_150,2,,1.png,unimodal_visual
20,1714741576633,03/05/2024 13:06:16,1714741577358,2,03/05/2024 15:06:17,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,63,1,1,Screen 1,advancementZone,timelimit_screen,99.80000000000291,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
21,1714741576633,03/05/2024 13:06:16,1714741577425,2,03/05/2024 15:06:17,0,0,,,37436591,,11038578,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,63,1,2,Screen 2,Zone1,timelimit_screen,66.80000000000291,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
