Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714383278156,29/04/2024 09:34:38,1714383278652,2,29/04/2024 11:34:38,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714383286290,29/04/2024 09:34:46,1714383286827,2,29/04/2024 11:34:46,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,8093.5999999940395,,Screen End,maggiu98,,0,1,0,,,,,,ID,,,,
3,1714383286390,29/04/2024 09:34:46,1714383286829,2,29/04/2024 11:34:46,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8093.5999999940395,,,,,0,1,0,,,,,,ID,,,,
4,1714383314557,29/04/2024 09:35:14,1714383315080,2,29/04/2024 11:35:15,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,28223,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714383319552,29/04/2024 09:35:19,1714383320063,2,29/04/2024 11:35:20,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.5999999999985,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714383319627,29/04/2024 09:35:19,1714383320158,2,29/04/2024 11:35:20,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,69,1,1,Screen 1,advancementZone,timelimit_screen,100,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
7,1714383319773,29/04/2024 09:35:19,1714383320309,2,29/04/2024 11:35:20,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,69,1,2,Screen 2,Zone1,timelimit_screen,150,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
8,1714383319872,29/04/2024 09:35:19,1714383320409,2,29/04/2024 11:35:20,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,69,1,3,Screen 3,advancementZone,timelimit_screen,100,,,,,0,1,0,,,1,,1,flash_150,2,,1.png,unimodal_visual
9,1714383320508,29/04/2024 09:35:20,1714383321046,2,29/04/2024 11:35:21,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,69,1,4,Screen 4,Zone1,response_keyboard,625.1999999955297,,,2,1,1,0,0,,,,,1,flash_150,2,,1.png,unimodal_visual
10,1714383325518,29/04/2024 09:35:25,1714383326042,2,29/04/2024 11:35:26,0,0,,,37322010,,11005941,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,69,1,5,Screen 5,fixation,fixation,4999.899999999994,,,,,0,1,0,,,,,1,flash_150,2,,1.png,unimodal_visual
