Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714377760714,29/04/2024 08:02:40,1714377761122,2,29/04/2024 10:02:41,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714377768382,29/04/2024 08:02:48,1714377768843,2,29/04/2024 10:02:48,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,7643.70000000298,,Screen End,marreb02,,0,1,0,,,,,,ID,,,,
3,1714377768467,29/04/2024 08:02:48,1714377768844,2,29/04/2024 10:02:48,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7643.70000000298,,,,,0,1,0,,,,,,ID,,,,
4,1714377793765,29/04/2024 08:03:13,1714377794213,2,29/04/2024 10:03:14,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,25341.19999999553,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714377798736,29/04/2024 08:03:18,1714377799205,2,29/04/2024 10:03:19,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.5999999999985,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714377800092,29/04/2024 08:03:20,1714377800558,2,29/04/2024 10:03:20,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,content_audio,1298.1999999955297,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
7,1714377800323,29/04/2024 08:03:20,1714377800786,2,29/04/2024 10:03:20,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,18,1,2,Screen 2,Zone1,timelimit_screen,233.40000000000146,,,,,0,1,0,,,1,,1,sifi_230_d,1,beep.wav,1.png,SiFI
8,1714377800452,29/04/2024 08:03:20,1714377800936,2,29/04/2024 10:03:20,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,18,1,3,Screen 3,Zone1,content_audio,119.20000000298023,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
9,1714377808943,29/04/2024 08:03:28,1714377809418,2,29/04/2024 10:03:29,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,18,1,4,Screen 4,Zone1,response_keyboard,8475.30000000447,,,1,1,1,0,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
10,1714377813932,29/04/2024 08:03:33,1714377814399,2,29/04/2024 10:03:34,0,0,,,37319896,,11005340,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,18,1,5,Screen 5,fixation,fixation,4999.700000000004,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
