Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1714730870286,03/05/2024 10:07:50,1714730871147,2,03/05/2024 12:07:51,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1714730878443,03/05/2024 10:07:58,1714730879347,2,03/05/2024 12:07:59,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,8154.600000008941,,Screen End,fedgio01,,0,1,0,,,,,,ID,,,,
3,1714730878518,03/05/2024 10:07:58,1714730879348,2,03/05/2024 12:07:59,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8154.600000008941,,,,,0,1,0,,,,,,ID,,,,
4,1714730916146,03/05/2024 10:08:36,1714730917042,2,03/05/2024 12:08:37,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,37666.5,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1714730921126,03/05/2024 10:08:41,1714730922021,2,03/05/2024 12:08:42,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.700000000004,,,,,0,1,0,,,,,,istruzioni,,,,
6,1714730922413,03/05/2024 10:08:42,1714730923330,2,03/05/2024 12:08:43,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,Zone1,content_audio,1246.2999999970198,,,,,0,1,0,,,,,1,sifi_110_d,1,beep.wav,1.png,SiFI
7,1714730922529,03/05/2024 10:08:42,1714730923434,2,03/05/2024 12:08:43,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,24,1,2,Screen 2,Zone1,timelimit_screen,116.60000000000582,,,,,0,1,0,,,1,,1,sifi_110_d,1,beep.wav,1.png,SiFI
8,1714730922648,03/05/2024 10:08:42,1714730923550,2,03/05/2024 12:08:43,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,24,1,3,Screen 3,Zone1,content_audio,103.19999998807907,,,,,0,1,0,,,,,1,sifi_110_d,1,beep.wav,1.png,SiFI
9,1714730924423,03/05/2024 10:08:44,1714730925338,2,03/05/2024 12:08:45,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,24,1,4,Screen 4,Zone1,response_keyboard,1771,,,1,1,1,0,0,,,,,1,sifi_110_d,1,beep.wav,1.png,SiFI
10,1714730929417,03/05/2024 10:08:49,1714730930332,2,03/05/2024 12:08:50,0,0,,,37432047,,11037492,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,24,1,5,Screen 5,fixation,fixation,4999.5999999999985,,,,,0,1,0,,,,,1,sifi_110_d,1,beep.wav,1.png,SiFI
